Timestamp,Lux
2026-09-25 09:53:30,65.00
2026-09-25 09:53:31,63.33
2026-09-25 09:53:32,55.00
2026-09-25 09:53:33,59.17
2026-09-25 09:53:34,53.33
2026-09-25 09:53:35,50.00
2026-09-25 09:53:36,65.83
2026-09-25 09:53:37,65.83
2026-09-25 09:53:38,65.83
2026-09-25 09:53:39,65.83
2026-09-25 09:53:40,65.83
2026-09-25 09:53:41,65.83
2026-09-25 09:53:42,65.83
2026-09-25 09:53:43,66.67
2026-09-25 09:53:44,66.67
2026-09-25 09:53:45,66.67
2026-09-25 09:53:46,66.67
2026-09-25 09:53:47,65.83
2026-09-25 09:53:48,65.83
2026-09-25 09:53:49,65.83
2026-09-25 09:53:50,66.67
2026-09-25 09:53:51,64.17
2026-09-25 09:53:52,63.33
2026-09-25 09:53:53,62.50
2026-09-25 09:53:54,62.50
2026-09-25 09:53:55,62.50
2026-09-25 09:53:56,62.50
2026-09-25 09:53:57,63.33
2026-09-25 09:53:58,63.33
2026-09-25 09:53:59,64.17
2026-09-25 09:54:00,63.33
2026-09-25 09:54:01,63.33
2026-09-25 09:54:02,62.50
2026-09-25 09:54:03,59.17
2026-09-25 09:54:04,55.83
